aX,aY,aZ,gX,gY,gZ
0.788,0.082,0.102,-38.696,-34.607,-15.442
0.842,0.064,0.091,-36.316,-34.973,-16.235
0.914,0.091,0.063,-35.217,-32.227,-14.465
0.915,0.108,0.067,-35.889,-30.884,-14.038
0.942,0.116,0.101,-37.048,-30.151,-15.564
0.967,0.133,0.130,-38.330,-29.236,-18.494
0.978,0.107,0.149,-39.307,-29.541,-23.193
1.001,0.014,0.168,-38.940,-30.029,-28.687
1.008,-0.063,0.187,-37.537,-31.189,-33.447
1.033,-0.083,0.169,-34.851,-32.532,-35.767
1.024,-0.087,0.155,-33.569,-33.691,-34.363
1.060,-0.106,0.167,-34.058,-34.485,-33.264
1.084,-0.113,0.202,-34.790,-35.095,-32.410
1.118,-0.118,0.210,-34.668,-34.790,-31.006
1.123,-0.196,0.228,-33.813,-33.020,-31.616
1.106,-0.290,0.236,-32.043,-29.724,-28.748
1.135,-0.307,0.201,-30.151,-25.635,-22.278
1.183,-0.269,0.175,-30.701,-23.071,-17.151
1.201,-0.250,0.181,-34.119,-21.423,-15.198
1.214,-0.275,0.216,-38.025,-20.264,-15.137
1.208,-0.301,0.253,-40.405,-19.592,-14.221
1.208,-0.332,0.294,-39.978,-19.043,-11.597
1.247,-0.352,0.312,-37.170,-18.738,-10.803
1.305,-0.355,0.325,-34.180,-18.311,-11.230
1.335,-0.348,0.337,-30.945,-16.846,-11.841
1.324,-0.337,0.338,-28.992,-13.123,-11.230
1.290,-0.342,0.348,-28.625,-8.850,-8.484
1.261,-0.340,0.369,-28.198,-5.798,-5.188
1.242,-0.308,0.372,-27.649,-4.089,-2.747
1.210,-0.293,0.374,-26.794,-4.639,-2.686
1.176,-0.304,0.383,-25.452,-6.592,-4.028
1.136,-0.317,0.373,-23.254,-9.155,-5.371
1.106,-0.346,0.379,-19.592,-12.207,-6.714
1.099,-0.351,0.389,-14.282,-14.099,-7.324
1.092,-0.332,0.404,-8.423,-13.489,-6.042
1.086,-0.292,0.402,-3.845,-11.353,-4.517
1.063,-0.260,0.389,-1.404,-7.690,-2.991
1.023,-0.251,0.372,-0.549,-3.296,0.183
0.980,-0.241,0.346,0.549,0.305,4.578
0.964,-0.209,0.310,1.526,1.709,8.667
0.959,-0.155,0.282,1.587,1.099,10.742
0.962,-0.109,0.262,0.671,-0.305,10.620
0.966,-0.092,0.262,-0.488,-2.014,8.911
0.960,-0.069,0.273,-0.427,-3.601,7.812
0.990,-0.036,0.284,1.160,-4.028,6.348
0.998,-0.018,0.291,2.625,-2.869,4.089
0.992,-0.008,0.275,4.150,-0.366,2.075
0.965,-0.004,0.257,4.578,1.831,0.977
0.947,0.005,0.242,3.723,3.479,2.319
0.949,0.027,0.232,2.014,3.540,3.357
0.968,0.037,0.238,0.122,2.625,3.418
0.961,0.029,0.245,-1.587,2.502,2.625
0.951,0.016,0.245,-1.770,1.404,1.099
0.925,0.008,0.245,-1.099,0.061,-0.488

1.381,0.820,0.577,71.472,-37.048,86.548
1.458,0.892,0.609,73.853,-36.011,81.970
1.536,0.996,0.613,75.562,-33.936,75.928
1.618,1.124,0.602,74.158,-29.724,71.899
1.718,1.196,0.620,70.435,-21.973,69.580
1.788,1.308,0.606,62.927,-12.207,67.200
1.841,1.371,0.595,56.763,-1.404,60.852
1.844,1.387,0.592,48.157,6.958,52.856
1.812,1.378,0.575,40.344,13.855,42.786
1.774,1.326,0.585,36.377,19.226,31.555
1.766,1.338,0.573,32.043,23.437,23.071
1.738,1.255,0.639,27.222,26.611,14.282
1.613,1.318,0.548,20.630,25.513,1.404
1.628,1.213,0.602,19.348,36.316,-3.601
1.546,1.203,0.583,9.949,39.307,-9.705
1.488,1.123,0.581,5.798,46.631,-17.944
1.392,1.027,0.555,3.235,56.519,-25.146
1.317,0.932,0.516,-0.610,65.552,-29.846
1.193,0.870,0.458,-4.944,71.045,-33.813
1.059,0.807,0.389,-9.583,73.792,-36.316
0.972,0.758,0.317,-14.526,74.890,-37.476
0.892,0.706,0.263,-19.409,72.693,-37.720
0.842,0.672,0.241,-23.743,69.519,-37.170
0.808,0.668,0.245,-25.391,66.589,-37.720
0.807,0.687,0.250,-25.757,64.880,-40.894
0.768,0.696,0.250,-25.940,65.186,-45.593
0.712,0.699,0.239,-27.893,67.139,-48.218
0.649,0.690,0.219,-33.569,70.129,-47.668
0.560,0.658,0.204,-38.879,72.754,-46.509
0.476,0.630,0.180,-42.480,72.571,-45.593
0.410,0.618,0.163,-42.419,68.848,-46.570
0.348,0.584,0.161,-40.344,61.157,-50.293
0.302,0.543,0.177,-36.499,51.453,-55.298
0.273,0.512,0.193,-32.227,43.518,-59.143
0.236,0.474,0.210,-28.687,37.231,-62.378
0.186,0.450,0.215,-26.733,32.715,-63.538
0.131,0.432,0.191,-28.320,29.846,-61.096
0.094,0.380,0.175,-30.090,27.649,-57.007
0.065,0.346,0.152,-30.518,25.513,-52.246
0.037,0.348,0.118,-29.968,21.240,-48.157
0.032,0.359,0.091,-28.931,14.221,-46.814
0.024,0.368,0.090,-28.503,5.859,-46.875
0.040,0.382,0.109,-30.457,-2.197,-45.166
0.083,0.384,0.141,-32.227,-8.057,-43.457
0.099,0.376,0.173,-33.508,-10.559,-41.687
0.100,0.400,0.177,-37.537,-12.878,-39.185
0.113,0.379,0.164,-41.260,-16.357,-38.330
0.170,0.272,0.149,-42.603,-18.921,-38.391
0.219,0.169,0.141,-42.419,-18.921,-35.706
0.239,0.108,0.123,-40.161,-16.968,-28.015
0.253,0.106,0.084,-36.865,-15.442,-19.592
0.314,0.142,0.012,-33.752,-15.198,-12.451
0.388,0.170,-0.049,-31.433,-16.418,-7.935
0.438,0.159,-0.104,-31.372,-18.921,-5.554
0.504,0.151,-0.148,-34.668,-21.179,-2.625
0.558,0.141,-0.164,-39.001,-23.437,2.258
0.601,0.136,-0.140,-42.297,-25.757,7.996
0.664,0.152,-0.123,-41.687,-28.931,10.193
0.726,0.175,-0.123,-38.757,-33.875,7.202
0.777,0.162,-0.098,-37.109,-38.940,1.587
0.857,0.129,-0.051,-36.682,-42.419,-2.014
0.956,0.126,0.009,-36.438,-44.250,-3.845
1.014,0.102,0.069,-36.133,-44.312,-5.920
1.069,0.075,0.102,-35.095,-42.358,-7.690
1.119,0.064,0.120,-34.485,-40.405,-9.399
1.147,0.078,0.123,-35.706,-39.368,-11.658
1.202,0.048,0.162,-39.246,-39.429,-16.235
1.273,-0.015,0.227,-41.077,-39.368,-22.949
1.271,-0.073,0.258,-39.368,-39.734,-30.457
1.272,-0.163,0.281,-34.668,-39.978,-38.147
1.292,-0.218,0.285,-29.663,-39.124,-42.603
1.302,-0.249,0.287,-26.550,-38.330,-42.725
1.318,-0.251,0.311,-24.841,-36.560,-40.161
1.357,-0.220,0.328,-24.597,-34.302,-37.903
1.364,-0.214,0.335,-25.574,-32.104,-37.781
1.347,-0.246,0.353,-27.405,-29.968,-38.025
1.321,-0.296,0.376,-28.320,-28.503,-37.903
1.307,-0.322,0.370,-27.405,-26.917,-36.316
1.274,-0.354,0.369,-26.062,-25.574,-33.630
1.253,-0.368,0.370,-23.804,-24.780,-30.334
1.205,-0.334,0.346,-20.996,-25.208,-26.978
1.198,-0.309,0.339,-19.287,-25.696,-24.048
1.200,-0.255,0.334,-18.799,-25.024,-20.813
1.183,-0.210,0.322,-19.348,-23.499,-17.883
1.162,-0.225,0.318,-19.348,-21.362,-16.907
1.174,-0.241,0.318,-16.968,-18.616,-16.541
1.158,-0.227,0.303,-13.062,-14.832,-14.526
1.133,-0.203,0.290,-9.644,-11.902,-12.512
1.113,-0.167,0.281,-8.057,-9.949,-10.376
1.106,-0.126,0.281,-7.385,-9.094,-8.484
1.091,-0.112,0.294,-7.080,-7.996,-7.812
1.083,-0.097,0.291,-6.226,-5.920,-7.568
