aX,aY,aZ,gX,gY,gZ
0.880,-0.428,-0.069,0.183,-1.221,3.479
0.914,-0.420,-0.043,-0.061,-1.831,3.113
0.932,-0.428,-0.016,-0.610,-0.244,2.563
0.917,-0.430,-0.019,-1.648,3.052,3.357
0.899,-0.435,-0.038,-1.221,4.333,2.563
0.885,-0.441,-0.055,0.854,3.174,0.854
0.874,-0.441,-0.072,3.052,0.916,-0.854
0.856,-0.432,-0.086,3.906,-0.977,-1.709
0.856,-0.438,-0.078,3.540,-2.808,-2.563
0.874,-0.454,-0.056,1.282,-3.235,-2.869
0.875,-0.456,-0.046,0.061,-2.380,-1.709

1.753,0.331,0.588,13.123,-62.622,-28.320
1.828,0.380,0.593,25.696,-57.190,-38.635
1.847,0.412,0.541,18.433,-52.246,-44.312
1.807,0.392,0.535,7.385,-37.842,-46.326
1.776,0.363,0.531,-7.080,-17.273,-44.189
1.730,0.334,0.524,-22.949,4.150,-38.330
1.703,0.313,0.527,-33.875,22.278,-32.471
1.716,0.347,0.507,-37.292,35.217,-30.151
1.742,0.392,0.515,-38.818,40.894,-32.959
1.740,0.403,0.520,-41.260,42.786,-41.382
1.736,0.411,0.524,-43.823,45.898,-50.415
1.737,0.406,0.513,-46.997,48.523,-57.983
1.703,0.400,0.508,-52.246,50.964,-64.392
1.651,0.372,0.517,-58.716,52.856,-70.679
1.614,0.313,0.543,-62.439,55.237,-76.233
1.587,0.293,0.581,-64.636,60.059,-79.041
1.557,0.267,0.610,-69.092,68.237,-80.750
1.508,0.214,0.667,-71.777,78.308,-83.618
1.459,0.167,0.697,-73.364,88.623,-85.510
1.402,0.123,0.692,-73.730,97.839,-87.646
1.317,0.058,0.661,-72.144,106.262,-91.370
1.214,-0.012,0.598,-69.275,113.098,-95.459
1.110,-0.053,0.536,-66.040,116.943,-97.839
1.019,-0.090,0.497,-64.270,117.981,-98.267
0.941,-0.112,0.465,-63.721,116.760,-98.633
0.859,-0.149,0.448,-63.232,115.601,-99.182
0.766,-0.211,0.444,-65.125,116.089,-98.511
0.687,-0.291,0.434,-66.528,117.004,-95.886
0.616,-0.356,0.428,-63.904,117.981,-90.759
0.560,-0.392,0.373,-58.899,116.577,-86.609
0.525,-0.387,0.296,-52.734,111.816,-84.717
0.513,-0.367,0.249,-48.157,108.032,-82.275
0.503,-0.373,0.210,-50.781,107.361,-78.430
0.469,-0.404,0.196,-59.448,110.107,-70.923
0.479,-0.447,0.193,-67.444,113.037,-61.035
0.496,-0.469,0.189,-69.885,113.708,-53.040
0.514,-0.484,0.185,-66.589,112.000,-47.791
0.513,-0.484,0.172,-61.462,109.314,-43.701
0.505,-0.468,0.165,-55.298,105.042,-40.955
0.468,-0.453,0.160,-48.645,98.999,-40.466
0.422,-0.449,0.122,-43.640,91.797,-41.809
0.400,-0.467,0.067,-41.016,84.351,-43.457
0.372,-0.494,0.031,-38.940,75.989,-44.006
0.363,-0.514,-0.013,-37.292,67.383,-43.457
0.357,-0.530,-0.037,-35.645,57.312,-41.931
0.345,-0.551,-0.019,-32.166,46.448,-39.978
0.361,-0.561,0.002,-26.733,35.645,-38.574
0.383,-0.550,0.008,-19.470,25.940,-37.903
0.396,-0.541,0.008,-13.123,18.677,-36.987
0.411,-0.535,-0.005,-11.475,15.259,-33.997
0.414,-0.533,-0.022,-13.367,15.076,-27.771
0.432,-0.529,-0.044,-16.418,17.151,-19.470
0.459,-0.528,-0.054,-18.799,20.264,-11.536
0.480,-0.518,-0.062,-20.447,20.325,-5.554
0.516,-0.511,-0.053,-20.447,18.066,-2.441
0.556,-0.499,-0.040,-18.005,14.832,-0.854
0.587,-0.477,-0.044,-14.465,10.437,-0.305
0.610,-0.446,-0.051,-10.864,7.202,-0.671
0.639,-0.435,-0.054,-9.094,6.348,-1.038
0.668,-0.431,-0.056,-9.216,7.629,-0.122
0.708,-0.432,-0.050,-9.583,9.705,1.221
0.737,-0.421,-0.054,-7.812,11.414,2.380
0.762,-0.397,-0.073,-4.578,11.902,2.563
0.780,-0.376,-0.086,-2.258,11.658,1.526
0.785,-0.369,-0.096,-1.343,10.376,0.000
0.796,-0.380,-0.104,-0.366,8.301,-2.258
0.793,-0.396,-0.131,2.075,5.615,-4.272
0.768,-0.409,-0.150,3.601,3.113,-5.859
0.765,-0.419,-0.151,3.784,0.427,-5.493
0.769,-0.427,-0.128,3.296,-1.221,-4.211
0.792,-0.432,-0.106,2.747,-1.953,-2.502
0.818,-0.428,-0.086,3.723,-1.526,-0.305
0.846,-0.422,-0.085,6.042,-0.549,1.038
0.879,-0.406,-0.095,8.179,0.610,2.136
0.908,-0.384,-0.115,9.460,2.686,3.357
0.923,-0.369,-0.131,8.850,5.249,4.517
0.920,-0.359,-0.141,7.446,5.981,4.517
0.926,-0.360,-0.152,7.141,4.700,2.625
0.924,-0.370,-0.159,8.545,1.709,-0.549
0.917,-0.382,-0.158,10.193,-0.732,-2.808
0.903,-0.384,-0.155,10.742,-1.892,-3.174
0.883,-0.379,-0.163,9.460,-2.502,-2.747
0.888,-0.370,-0.169,7.568,-3.357,-2.136
0.893,-0.373,-0.145,5.981,-3.906,-1.038
0.903,-0.378,-0.123,4.456,-3.967,0.061
0.915,-0.386,-0.116,4.028,-3.540,0.793
0.913,-0.388,-0.123,4.028,-2.502,1.953
0.904,-0.386,-0.138,2.930,-1.892,3.296
0.901,-0.395,-0.142,1.892,-1.648,4.272
0.907,-0.382,-0.133,1.648,-2.319,5.127
0.933,-0.374,-0.104,2.258,-2.625,5.005
0.946,-0.373,-0.076,2.869,-1.953,4.456
0.951,-0.365,-0.069,3.357,-0.183,3.906
0.943,-0.365,-0.083,4.761,0.549,2.563
0.932,-0.376,-0.102,5.554,0.183,0.427
0.917,-0.380,-0.122,6.042,-0.977,-1.343
0.902,-0.380,-0.128,7.080,-2.075,-2.441
0.903,-0.382,-0.133,7.019,-2.625,-2.625
0.905,-0.379,-0.131,6.104,-1.892,-1.770
0.907,-0.382,-0.131,5.310,-0.916,-0.977
0.901,-0.389,-0.133,4.883,-0.793,-0.183
0.903,-0.397,-0.137,4.700,-1.404,-0.366
0.901,-0.387,-0.133,5.554,-2.441,-0.183
0.914,-0.376,-0.124,6.470,-2.869,0.000
0.915,-0.376,-0.115,5.554,-1.648,0.488
0.910,-0.377,-0.111,3.357,-0.183,1.709
0.911,-0.381,-0.114,2.869,0.061,1.892
0.907,-0.380,-0.119,4.211,-0.916,1.160
